iter	Logloss
0	0.6914469558
1	0.689576223
2	0.6880093968
3	0.6863187775
4	0.6848937391
5	0.6834283592
6	0.6821569073
7	0.6808227506
8	0.6795731863
9	0.6784336598
10	0.6772209194
11	0.6762108576
12	0.6752414098
13	0.6742985695
14	0.6733056664
15	0.6723539365
16	0.6714750193
17	0.6706462438
18	0.6699466249
19	0.669249449
20	0.6684226351
21	0.6676995524
22	0.6669765217
23	0.6663461326
24	0.6657337434
25	0.6651711786
26	0.6645047608
27	0.6639259483
28	0.6633718335
29	0.6628470244
30	0.6624132677
31	0.6619252983
32	0.661419448
33	0.6609219253
34	0.6605037764
35	0.660039568
36	0.659621745
37	0.6592552414
38	0.6588210714
39	0.658489487
40	0.6580974768
41	0.6578313547
42	0.657454483
43	0.6571070586
44	0.6567410818
45	0.6564866667
46	0.6561211146
47	0.6557736948
48	0.6554337049
49	0.6551607657
50	0.6548722907
51	0.6545943917
52	0.6543224695
53	0.6539951626
54	0.6536933396
55	0.6534470543
56	0.6531769728
57	0.6529233676
58	0.6526750583
59	0.6524753678
60	0.6522953824
61	0.6520985397
62	0.6518441592
63	0.6515747667
64	0.6512949116
65	0.6510988983
66	0.6509007891
67	0.6507091387
68	0.6504859363
69	0.6502933113
70	0.6500705521
71	0.6499304348
72	0.6497175368
73	0.6495167201
74	0.649375303
75	0.649100127
76	0.6488519366
77	0.6486586291
78	0.648482541
79	0.6483063184
80	0.6481386335
81	0.6479968256
82	0.6478210015
83	0.6476622931
84	0.6474672919
85	0.6472432095
86	0.6470562457
87	0.6468904343
88	0.6467594119
89	0.6465647485
90	0.6463874077
91	0.6462212154
92	0.646039846
93	0.6458631181
94	0.645744018
95	0.6455500887
96	0.6453420016
97	0.6452256354
98	0.6451075867
99	0.6449772095
100	0.6448536947
101	0.6447439476
102	0.6445539151
103	0.6444412794
104	0.6443217262
105	0.644250351
106	0.6440868587
107	0.6439645453
108	0.6438513661
109	0.6437295288
110	0.6435286805
111	0.643378514
112	0.6431987266
113	0.6431735921
114	0.6430493225
115	0.6428908828
116	0.6428083515
117	0.6426546929
118	0.6425590642
119	0.6424106628
120	0.6422995389
121	0.6421573728
122	0.6420330646
123	0.6419485602
124	0.6418447599
125	0.6417344506
126	0.6416586672
127	0.6415277347
128	0.6414120375
129	0.6413497304
130	0.6412720732
131	0.6412091006
132	0.6410600499
133	0.6409592472
134	0.6408931048
135	0.6407248096
136	0.6406104202
137	0.6405104031
138	0.6403997812
139	0.6402934497
140	0.6401906253
141	0.640072649
142	0.6400575117
143	0.6399744513
144	0.6399594091
145	0.6398594668
146	0.6397585665
147	0.6396303114
148	0.6395743639
149	0.639487676
